symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas,std,turbo
3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811148486,0.890277778,0.816053512,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,11.19047619,Low,0,1,1,0
3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811148486,0.890277778,0.816053512,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,11.19047619,Low,0,1,1,0
1,122,alfa-romero,two,hatchback,rwd,front,94.5,0.822681403,0.909722222,0.876254181,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500,12.36842105,Medium,0,1,1,0
2,164,audi,four,sedan,fwd,front,99.8,0.848630466,0.919444444,0.908026756,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,9.791666667,Low,0,1,1,0
2,164,audi,four,sedan,4wd,front,99.4,0.848630466,0.922222222,0.908026756,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,13.05555556,Low,0,1,1,0
2,122,audi,two,sedan,fwd,front,99.8,0.851994234,0.920833333,0.887959866,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,12.36842105,Low,0,1,1,0
1,158,audi,four,sedan,fwd,front,105.8,0.925997117,0.991666667,0.931438127,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,12.36842105,Low,0,1,1,0
1,122,audi,four,wagon,fwd,front,105.8,0.925997117,0.991666667,0.931438127,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,12.36842105,Low,0,1,1,0
1,158,audi,four,sedan,fwd,front,105.8,0.925997117,0.991666667,0.934782609,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,13.82352941,Medium,0,1,0,1
2,192,bmw,two,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,10.2173913,Low,0,1,1,0
0,192,bmw,four,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,10.2173913,Low,0,1,1,0
0,188,bmw,two,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,11.19047619,Medium,0,1,1,0
0,188,bmw,four,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,11.19047619,Medium,0,1,1,0
1,122,bmw,four,sedan,rwd,front,103.5,0.908217203,0.929166667,0.931438127,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,11.75,Medium,0,1,1,0
0,122,bmw,four,sedan,rwd,front,103.5,0.908217203,0.929166667,0.931438127,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760,14.6875,Medium,0,1,1,0
0,122,bmw,two,sedan,rwd,front,103.5,0.931283037,0.943055556,0.897993311,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315,14.6875,Medium,0,1,1,0
0,122,bmw,four,sedan,rwd,front,110,0.946660259,0.984722222,0.941471572,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,15.66666667,Medium,0,1,1,0
2,121,chevrolet,two,hatchback,fwd,front,88.4,0.678039404,0.8375,0.889632107,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,5,Low,0,1,1,0
1,98,chevrolet,two,hatchback,fwd,front,94.5,0.749159058,0.883333333,0.869565217,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,6.184210526,Low,0,1,1,0
0,81,chevrolet,four,sedan,fwd,front,94.5,0.763094666,0.883333333,0.869565217,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,6.184210526,Low,0,1,1,0
1,118,dodge,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.849498328,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,6.351351351,Low,0,1,1,0
1,118,dodge,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.849498328,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,7.580645161,Low,0,1,1,0
1,118,dodge,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.849498328,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,9.791666667,Low,0,1,0,1
1,148,dodge,four,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.846153846,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,7.580645161,Low,0,1,1,0
1,148,dodge,four,sedan,fwd,front,93.7,0.755886593,0.886111111,0.846153846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,7.580645161,Low,0,1,1,0
1,148,dodge,four,sedan,fwd,front,93.7,0.755886593,0.886111111,0.846153846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,7.580645161,Low,0,1,1,0
1,148,dodge,four,sedan,fwd,front,93.7,0.755886593,0.886111111,0.846153846,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,9.791666667,Low,0,1,0,1
-1,110,dodge,four,wagon,fwd,front,103.3,0.839019702,0.897222222,1,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,9.791666667,Low,0,1,1,0
3,145,dodge,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964,12.36842105,Medium,0,1,0,1
2,137,honda,two,hatchback,fwd,front,86.6,0.694858241,0.8875,0.849498328,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,4.795918367,Low,0,1,1,0
2,137,honda,two,hatchback,fwd,front,86.6,0.694858241,0.8875,0.849498328,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,7.580645161,Low,0,1,1,0
1,101,honda,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,0.879598662,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,6.184210526,Low,0,1,1,0
1,101,honda,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,0.879598662,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,7.833333333,Low,0,1,1,0
1,101,honda,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,0.879598662,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,7.833333333,Low,0,1,1,0
0,110,honda,four,sedan,fwd,front,96.5,0.785199423,0.888888889,0.911371237,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,7.833333333,Low,0,1,1,0
0,78,honda,four,wagon,fwd,front,96.5,0.754925517,0.8875,0.974916388,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,7.833333333,Low,0,1,1,0
0,106,honda,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,0.891304348,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895,8.703703704,Low,0,1,1,0
0,106,honda,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,0.891304348,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095,8.703703704,Low,0,1,1,0
0,85,honda,four,sedan,fwd,front,96.5,0.842864008,0.905555556,0.904682274,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845,8.703703704,Low,0,1,1,0
0,85,honda,four,sedan,fwd,front,96.5,0.842864008,0.868055556,0.904682274,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295,8.703703704,Low,0,1,1,0
0,85,honda,four,sedan,fwd,front,96.5,0.842864008,0.905555556,0.904682274,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945,9.791666667,Low,0,1,1,0
1,107,honda,two,sedan,fwd,front,96.5,0.812590101,0.916666667,0.852842809,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,9.4,Low,0,1,1,0
0,122,isuzu,four,sedan,rwd,front,94.3,0.820278712,0.858333333,0.894648829,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,9.791666667,Low,0,1,1,0
2,122,isuzu,two,hatchback,rwd,front,96,0.829408938,0.905555556,0.859531773,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,9.791666667,Low,0,1,1,0
0,145,jaguar,four,sedan,rwd,front,113,0.959154253,0.966666667,0.882943144,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,15.66666667,Medium,0,1,1,0
0,122,jaguar,four,sedan,rwd,front,113,0.959154253,0.966666667,0.882943144,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550,15.66666667,Medium,0,1,1,0
0,122,jaguar,two,sedan,rwd,front,102,0.921191735,0.980555556,0.799331104,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000,18.07692308,High,0,1,1,0
1,104,mazda,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,0.904682274,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195,7.833333333,Low,0,1,1,0
1,104,mazda,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,0.904682274,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095,7.580645161,Low,0,1,1,0
1,104,mazda,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,0.904682274,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795,7.580645161,Low,0,1,1,0
1,113,mazda,four,sedan,fwd,front,93.1,0.801537722,0.891666667,0.904682274,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695,7.580645161,Low,0,1,1,0
1,113,mazda,four,sedan,fwd,front,93.1,0.801537722,0.891666667,0.904682274,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395,7.580645161,Low,0,1,1,0
3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2380,rotor,two,70,4bbl,3.329751244,3.255422886,9.4,101,6000,17,23,10945,13.82352941,Low,0,1,1,0
3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2380,rotor,two,70,4bbl,3.329751244,3.255422886,9.4,101,6000,17,23,11845,13.82352941,Low,0,1,1,0
3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2385,rotor,two,70,4bbl,3.329751244,3.255422886,9.4,101,6000,17,23,13645,13.82352941,Low,0,1,1,0
3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2500,rotor,two,80,mpfi,3.329751244,3.255422886,9.4,135,6000,16,23,15645,14.6875,Medium,0,1,1,0
1,129,mazda,two,hatchback,fwd,front,98.8,0.854396925,0.923611111,0.897993311,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,9.038461538,Low,0,1,1,0
0,115,mazda,four,sedan,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,9.038461538,Low,0,1,1,0
1,129,mazda,two,hatchback,fwd,front,98.8,0.854396925,0.923611111,0.897993311,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,9.038461538,Low,0,1,1,0
0,115,mazda,four,sedan,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,9.038461538,Low,0,1,1,0
0,122,mazda,four,sedan,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795,6.527777778,Low,1,0,1,0
0,115,mazda,four,hatchback,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,9.038461538,Low,0,1,1,0
0,118,mazda,four,sedan,rwd,front,104.9,0.840941855,0.918055556,0.909698997,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,18280,12.36842105,Medium,0,1,1,0
0,122,mazda,four,sedan,rwd,front,104.9,0.840941855,0.918055556,0.909698997,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,18344,7.580645161,Low,1,0,1,0
-1,93,mercedes-benz,four,sedan,rwd,front,110,0.917347429,0.976388889,0.944816054,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,10.68181818,Medium,1,0,0,1
-1,93,mercedes-benz,four,wagon,rwd,front,110,0.917347429,0.976388889,0.981605351,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,10.68181818,Medium,1,0,0,1
0,93,mercedes-benz,two,hardtop,rwd,front,106.7,0.90100913,0.976388889,0.918060201,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,10.68181818,Medium,1,0,0,1
-1,93,mercedes-benz,four,sedan,rwd,front,115.6,0.973570399,0.995833333,0.941471572,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,10.68181818,Medium,1,0,0,1
-1,122,mercedes-benz,four,sedan,rwd,front,115.6,0.973570399,0.995833333,0.944816054,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,14.6875,Medium,0,1,1,0
3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.86641038,0.979166667,0.849498328,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,14.6875,Medium,0,1,1,0
0,122,mercedes-benz,four,sedan,rwd,front,120.9,1,0.995833333,0.948160535,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,40960,16.78571429,Medium,0,1,1,0
1,122,mercedes-benz,two,hardtop,rwd,front,112,0.9572321,1,0.926421405,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,16,45400,16.78571429,Medium,0,1,1,0
1,122,mercury,two,hatchback,rwd,front,102.7,0.857280154,0.944444444,0.91638796,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,16503,12.36842105,Medium,0,1,0,1
2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,0.849498328,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,6.351351351,Low,0,1,1,0
2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,0.849498328,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,7.580645161,Low,0,1,1,0
2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,0.849498328,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,7.580645161,Low,0,1,1,0
1,161,mitsubishi,two,hatchback,fwd,front,93,0.755886593,0.886111111,0.849498328,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,9.791666667,Low,0,1,0,1
3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.831331091,0.908333333,0.826086957,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,10.2173913,Low,0,1,0,1
3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.831331091,0.908333333,0.826086957,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,9.4,Low,0,1,1,0
3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,24,12629,12.36842105,Medium,0,1,0,1
3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14869,12.36842105,Medium,0,1,0,1
3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14489,12.36842105,Medium,0,1,0,1
1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,9.4,Low,0,1,1,0
1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,9.4,Low,0,1,1,0
1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,10.2173913,Low,0,1,0,1
-1,137,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,10.2173913,Low,0,1,1,0
1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,7.580645161,Low,0,1,1,0
1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,5.222222222,Low,1,0,1,0
1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,7.580645161,Low,0,1,1,0
1,122,nissan,four,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,7.580645161,Low,0,1,1,0
1,103,nissan,four,wagon,fwd,front,94.5,0.817876021,0.886111111,0.894648829,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,7.580645161,Low,0,1,1,0
1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,7.580645161,Low,0,1,1,0
1,128,nissan,two,hatchback,fwd,front,94.5,0.795771264,0.886111111,0.891304348,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,7.580645161,Low,0,1,1,0
1,122,nissan,four,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,7.580645161,Low,0,1,1,0
1,103,nissan,four,wagon,fwd,front,94.5,0.817876021,0.886111111,0.894648829,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,7.580645161,Low,0,1,1,0
2,168,nissan,two,hardtop,fwd,front,95.1,0.780394041,0.886111111,0.891304348,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,7.580645161,Low,0,1,1,0
0,106,nissan,four,hatchback,fwd,front,97.2,0.833253244,0.905555556,0.914715719,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,8.703703704,Low,0,1,1,0
0,106,nissan,four,sedan,fwd,front,97.2,0.833253244,0.905555556,0.914715719,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,8.703703704,Low,0,1,1,0
0,128,nissan,four,sedan,fwd,front,100.4,0.873137914,0.923611111,0.921404682,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13499,13.82352941,Medium,0,1,1,0
